date,mean,median,p5,p25,p75,p95
2025-10-19,-5.400000000000936,-5.4,-5.4,-5.4,-5.4,-5.4
2025-10-26,-5.4116444121840415,-5.409834384815142,-5.742311847020785,-5.5473474237220985,-5.27496267683762,-5.08358747177833
2025-11-02,-5.420126508535567,-5.418397532095067,-5.882451210561275,-5.611096746806329,-5.231674116852821,-4.958142122778088
2025-11-09,-5.432614255577426,-5.43087589014409,-5.997221849522375,-5.664463617429239,-5.203753847254659,-4.86227185645854
2025-11-16,-5.440488801755601,-5.438270209058612,-6.0991068935096004,-5.707243009644461,-5.172136274365304,-4.782603708259739
2025-11-23,-5.449758712733556,-5.446119913322741,-6.178153915760765,-5.751524342161505,-5.148100523115406,-4.722477063996062
2025-11-30,-5.461472386958756,-5.4637179830332006,-6.275666657263328,-5.782153583865407,-5.1320897428144105,-4.666023142218201
2025-12-07,-5.471844891642687,-5.467489938927439,-6.346530003659822,-5.825951459937659,-5.120014012265972,-4.59701522004582
2025-12-14,-5.484392267729694,-5.478306135952246,-6.414161489632346,-5.860250413815928,-5.110316487691074,-4.557958092182692
2025-12-21,-5.495883199312043,-5.4915069920408355,-6.48445878441066,-5.902186724929324,-5.0944380525771145,-4.507443737336171
2025-12-28,-5.504342733319662,-5.498146811020726,-6.549514427064711,-5.92881519698095,-5.072835527076701,-4.471039588931894
2026-01-04,-5.514829612497054,-5.51156833380227,-6.623522230653998,-5.9630278239212,-5.06343732529297,-4.423262973337993
2026-01-11,-5.525936928186037,-5.527853776573276,-6.678172585323235,-5.983721764848884,-5.057785738815241,-4.382241785911281
2026-01-18,-5.536721805746103,-5.530158329696314,-6.734393172727215,-6.02390430710598,-5.0419758249231545,-4.350575238465805
2026-01-25,-5.547852962901782,-5.54596880273435,-6.777390158002631,-6.05763345755428,-5.042843181766694,-4.319392986014357
2026-02-01,-5.556368302359906,-5.5527366967917136,-6.8304730545012164,-6.076801914678136,-5.032756148737526,-4.2932631424214955
2026-02-08,-5.569532887416832,-5.571273869407447,-6.881899422301743,-6.108990618066045,-5.028446519777791,-4.245660474163374
2026-02-15,-5.582618722986379,-5.5805770636121155,-6.939459013567751,-6.138864665960074,-5.029044685571389,-4.217511423074716
2026-02-22,-5.594084169233688,-5.590240249047808,-6.98368106126347,-6.163694372890959,-5.021761541076434,-4.195609749093416
2026-03-01,-5.604612152068204,-5.614196124747384,-7.013628492687085,-6.188860257243654,-5.01990065752007,-4.159384537857106
2026-03-08,-5.617753916502931,-5.628554648633138,-7.08492414072615,-6.214455210696819,-5.010219085206021,-4.153123691219155
2026-03-15,-5.623673658796072,-5.630758117315736,-7.13926404735611,-6.2378795038064245,-4.997299267383473,-4.1224193434864915
2026-03-22,-5.631990686131546,-5.642898760977307,-7.164731262773781,-6.257706733919525,-5.005076248463706,-4.095039868273293
2026-03-29,-5.6381592387169475,-5.64880931325033,-7.195397638269986,-6.280348881028186,-4.995912974645831,-4.039413743522604
2026-04-05,-5.648241339111827,-5.651949228411068,-7.239572826989697,-6.307336299022619,-4.984385855578405,-4.031833049120658
2026-04-12,-5.659561261094486,-5.665823895530423,-7.296214409736445,-6.321925186313523,-4.98918479933908,-4.000362737923741
2026-04-19,-5.668787298300232,-5.675790702109147,-7.308194132676154,-6.352691747004359,-4.9805968747838065,-3.975529831287213
2026-04-26,-5.680227709606873,-5.683144639765359,-7.382506813515305,-6.3743479467673225,-4.970663698193967,-3.967699735436699
