date,yield,cds,spread,debt,deficit,unemployment,inflation
2025-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-26,0.0,0.0,0.0,0.0,0.3285,0.0014,0.0
2025-11-02,0.0,0.0,0.0,0.0,0.3874,0.0139,0.0001
2025-11-09,0.0,0.0,0.0,0.0,0.4186,0.0401,0.0021
2025-11-16,0.0,0.0,0.0,0.0,0.4378,0.0665,0.0056
2025-11-23,0.0,0.0,0.0,0.0,0.4499,0.0944,0.0141
2025-11-30,0.0,0.0,0.0,0.0,0.4678,0.1172,0.0247
2025-12-07,0.0,0.0,0.0,0.0,0.4736,0.1413,0.0366
2025-12-14,0.0,0.0,0.0,0.0,0.4842,0.1609,0.0506
2025-12-21,0.0,0.0,0.0,0.0,0.4938,0.1793,0.0666
2025-12-28,0.0,0.0,0.0,0.0,0.4985,0.2007,0.0777
2026-01-04,0.0,0.0,0.0,0.0,0.5073,0.2133,0.0941
2026-01-11,0.0,0.0,0.0,0.0001,0.5121,0.2319,0.1067
2026-01-18,0.0,0.0,0.0,0.0006,0.5187,0.2453,0.1179
2026-01-25,0.0,0.0,0.0,0.0021,0.5239,0.2547,0.1292
2026-02-01,0.0,0.0,0.0,0.0081,0.5299,0.2632,0.1396
2026-02-08,0.0,0.0,0.0,0.0233,0.5342,0.2789,0.1533
2026-02-15,0.0,0.0,0.0,0.0549,0.539,0.2887,0.1615
2026-02-22,0.0,0.0,0.0,0.1062,0.5439,0.3012,0.1749
2026-03-01,0.0,0.0,0.0,0.1842,0.5509,0.3092,0.183
2026-03-08,0.0,0.0,0.0,0.2801,0.5544,0.3188,0.1939
2026-03-15,0.0,0.0,0.0,0.3899,0.5581,0.3264,0.2035
2026-03-22,0.0,0.0,0.0,0.5106,0.5579,0.3347,0.2123
2026-03-29,0.0,0.0,0.0,0.6175,0.5607,0.3436,0.2226
2026-04-05,0.0,0.0,0.0,0.7112,0.5611,0.3496,0.2295
2026-04-12,0.0,0.0,0.0,0.7906,0.5668,0.3588,0.2399
2026-04-19,0.0,0.0,0.0,0.8538,0.5704,0.3644,0.2448
2026-04-26,0.0,0.0,0.0,0.9014,0.5717,0.3688,0.2542
2026-05-03,0.0,0.0,0.0,0.9349,0.5747,0.3736,0.2622
2026-05-10,0.0,0.0,0.0,0.9599,0.5766,0.3797,0.272
2026-05-17,0.0,0.0,0.0,0.9772,0.5808,0.3855,0.284
2026-05-24,0.0,0.0,0.0,0.9855,0.5834,0.392,0.2904
2026-05-31,0.0,0.0,0.0,0.993,0.585,0.3964,0.2993
2026-06-07,0.0,0.0,0.0,0.9961,0.583,0.4038,0.3056
2026-06-14,0.0,0.0,0.0,0.9979,0.5866,0.4061,0.3174
2026-06-21,0.0,0.0,0.0,0.9987,0.5904,0.4096,0.3254
2026-06-28,0.0,0.0,0.0,0.9993,0.5928,0.4117,0.3329
2026-07-05,0.0,0.0,0.0,0.9996,0.5999,0.4171,0.3435
2026-07-12,0.0,0.0,0.0,0.9997,0.5995,0.423,0.3492
2026-07-19,0.0,0.0,0.0,0.9999,0.6034,0.4255,0.355
2026-07-26,0.0,0.0,0.0,0.9999,0.6037,0.4313,0.3603
2026-08-02,0.0,0.0,0.0,0.9999,0.604,0.4329,0.3628
2026-08-09,0.0,0.0,0.0,1.0,0.603,0.4398,0.3724
2026-08-16,0.0,0.0,0.0,1.0,0.6064,0.4404,0.3775
2026-08-23,0.0,0.0,0.0,1.0,0.6078,0.4444,0.386
2026-08-30,0.0,0.0,0.0,1.0,0.611,0.4486,0.3885
2026-09-06,0.0,0.0,0.0,1.0,0.6143,0.4583,0.3949
2026-09-13,0.0,0.0,0.0,1.0,0.616,0.4601,0.4023
2026-09-20,0.0,0.0,0.0,1.0,0.6174,0.4632,0.4063
2026-09-27,0.0,0.0,0.0,1.0,0.6214,0.4642,0.4133
2026-10-04,0.0,0.0,0.0,1.0,0.6201,0.4662,0.4198
2026-10-11,0.0,0.0,0.0,1.0,0.6213,0.4703,0.4232
2026-10-18,0.0,0.0,0.0,1.0,0.6229,0.472,0.4251
2026-10-25,0.0,0.0,0.0,1.0,0.6228,0.4724,0.4359
2026-11-01,0.0,0.0,0.0,1.0,0.6229,0.4737,0.436
2026-11-08,0.0,0.0,0.0,1.0,0.6245,0.4802,0.445
2026-11-15,0.0,0.0,0.0,1.0,0.6265,0.4851,0.4498
2026-11-22,0.0,0.0,0.0,1.0,0.6294,0.4858,0.4544
2026-11-29,0.0,0.0,0.0,1.0,0.6319,0.4891,0.4574
2026-12-06,0.0,0.0,0.0,1.0,0.6303,0.4921,0.4595
2026-12-13,0.0,0.0,0.0,1.0,0.6332,0.4941,0.466
2026-12-20,0.0,0.0,0.0,1.0,0.6328,0.4948,0.4694
2026-12-27,0.0,0.0,0.0,1.0,0.6312,0.4978,0.4698
2027-01-03,0.0,0.0,0.0,1.0,0.6332,0.5007,0.4755
2027-01-10,0.0,0.0,0.0,1.0,0.6341,0.5011,0.4805
2027-01-17,0.0,0.0,0.0,1.0,0.6359,0.504,0.4865
2027-01-24,0.0,0.0,0.0,1.0,0.6395,0.5058,0.4912
